direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,faixa_intervalo_extravio_temporario,violacao_furto_avaria,noshow,overbooking,hipervulneravel,Dano-Moral
0,0,0,2,1,0,0,0,10000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,1,10000.0
0,0,0,4,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,1,2000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,9000.0
0,0,1,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,8000.0
0,0,0,0,0,0,0,1,13000.0
0,0,0,0,0,0,0,0,3000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,9700.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,13000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,12000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,12000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,2,0,0,0,0,3000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,12000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,11000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,4,0,0,0,0,10000.0
0,0,0,3,0,0,0,0,7500.0
0,0,1,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,3000.0
0,0,0,2,0,0,0,1,2250.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,2,0,0,0,0,4500.0
0,0,0,3,0,0,0,0,4000.0
0,0,0,0,1,0,0,0,5000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,14000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,4,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,2,0,0,0,0,2000.0
0,0,0,0,1,0,0,0,5000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,1,0,0,0,5000.0
0,0,0,0,0,0,1,0,5000.0
0,0,0,0,0,1,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,11000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,1,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,1,7000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,1,0,0,4000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,1,0,5000.0
0,0,0,2,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,1,0,0,8000.0
0,0,0,0,0,1,0,0,5000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,1,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,3000.0
0,0,0,0,0,0,0,0,3500.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,0,0,0,11000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,2000.0
0,0,1,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,1,0,0,0,0,1,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,1,0,0,0,3000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,1,0,0,5000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,7000.0
0,0,0,0,0,0,0,0,3000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,13000.0
0,0,0,2,0,0,0,0,2250.0
0,0,0,0,0,0,0,0,4000.0
0,0,1,4,0,0,0,0,4000.0
0,0,0,0,0,0,0,0,3000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,2000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,1,0,0,0,4500.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,12000.0
0,0,0,0,0,0,0,0,7496.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,1,0,0,0,0,10000.0
0,0,0,1,0,0,0,0,8000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,9000.0
0,0,0,0,1,0,0,0,3000.0
0,0,0,0,0,0,0,0,6000.0
0,0,0,0,0,0,0,0,9000.0
0,0,0,0,0,0,0,0,4000.0
0,0,0,1,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,1,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,10000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,0,0,0,0,5000.0
0,0,0,0,1,0,0,0,2000.0
